operation_id,work_date,facility_id,shift_id,forecast_orders,actual_orders,planned_fte,planned_contract,absent_fte,absent_contract,present_fte,present_contract,overtime_hours,capacity_orders,processed_orders,backlog_orders,paid_hours,productive_hours,actual_productivity_per_hour,capacity_utilization,absence_rate,labour_cost_inr,cost_per_processed_order
32,2026-05-03,FC_BLR,S2,3273,3457,28,10,1,0,27,10,3,3459.3,3457,0,307.0,269.4,12.83,0.9993,0.0263,54892.82,15.88
33,2026-05-03,FC_BLR,S3,2107,2162,20,7,1,0,19,7,0,2230.0,2162,0,216.0,187.2,11.55,0.9695,0.037,41043.2,18.98
34,2026-05-03,FC_DEL,S1,3591,3481,30,10,2,0,28,10,14,3481.9,3481,0,334.0,287.6,12.1,0.9998,0.05,60252.0,17.31
35,2026-05-03,FC_DEL,S2,3612,3408,33,12,0,0,33,12,0,3950.0,3408,0,360.0,324.0,10.52,0.8628,0.0,65804.64,19.31
36,2026-05-03,FC_DEL,S3,2182,2352,21,8,1,0,20,8,10,2356.5,2352,0,242.0,211.6,11.12,0.9981,0.0345,48193.2,20.49
37,2026-05-03,FC_KOL,S1,1795,2056,16,6,0,1,16,5,10,2060.0,2056,0,186.0,161.2,12.75,0.9981,0.0455,31016.0,15.09
38,2026-05-03,FC_KOL,S2,2195,2425,21,7,0,0,21,7,4,2425.1,2425,0,228.0,205.6,11.79,0.9999,0.0,38406.64,15.84
39,2026-05-03,FC_KOL,S3,1613,1614,16,5,1,0,15,5,2,1621.3,1614,0,170.0,146.0,11.05,0.9955,0.0476,30448.0,18.86
40,2026-05-03,FC_MUM,S1,2698,2728,24,8,0,0,24,8,0,3028.8,2728,0,256.0,230.4,11.84,0.9007,0.0,46080.0,16.89
41,2026-05-03,FC_MUM,S2,3840,3511,35,12,1,1,34,11,0,3976.8,3511,0,376.0,324.0,10.84,0.8829,0.0426,69768.08,19.87
42,2026-05-03,FC_MUM,S3,1816,1863,18,6,2,0,16,6,14,1871.1,1863,0,206.0,172.4,10.81,0.9957,0.0833,42066.2,22.58
43,2026-05-03,FC_HYD,S1,2599,2450,23,8,1,0,22,8,0,2839.9,2450,0,248.0,216.0,11.34,0.8627,0.0323,41344.0,16.88
44,2026-05-03,FC_HYD,S2,2915,3087,27,9,1,1,26,8,0,3148.2,3087,0,288.0,244.8,12.61,0.9806,0.0556,49390.56,16.0
45,2026-05-03,FC_HYD,S3,2195,1915,22,8,3,0,19,8,0,2359.7,1915,0,240.0,194.4,9.85,0.8115,0.1,44070.4,23.01
46,2026-05-04,FC_BLR,S1,2474,2405,21,7,0,1,21,6,0,2505.5,2405,0,224.0,194.4,12.37,0.9599,0.0357,38640.0,16.07
47,2026-05-04,FC_BLR,S2,2948,2758,24,9,0,1,24,8,0,3057.1,2758,0,264.0,230.4,11.97,0.9022,0.0303,47066.88,17.07
48,2026-05-04,FC_BLR,S3,1674,1871,15,5,1,1,14,4,35,1872.7,1871,0,195.0,164.6,11.37,0.9991,0.1,39985.0,21.37
49,2026-05-04,FC_DEL,S1,2485,2779,21,8,1,1,20,7,36,2740.5,2740,39,268.0,230.4,11.89,0.9998,0.069,50520.0,18.44
50,2026-05-04,FC_DEL,S2,2715,2836,24,9,5,1,19,8,36,2831.8,2831,5,300.0,230.4,12.29,0.9997,0.1818,57869.52,20.44
51,2026-05-04,FC_DEL,S3,1781,1953,16,6,0,1,16,5,29,1956.1,1953,0,205.0,180.2,10.84,0.9984,0.0455,42620.6,21.82
52,2026-05-04,FC_KOL,S1,1915,1861,17,6,0,0,17,6,0,2079.0,1861,0,184.0,165.6,11.24,0.8952,0.0,29904.0,16.07
53,2026-05-04,FC_KOL,S2,2288,2222,21,7,0,1,21,6,0,2317.1,2222,0,224.0,194.4,11.43,0.959,0.0357,37434.32,16.85
54,2026-05-04,FC_KOL,S3,1158,1278,13,5,1,1,12,4,4,1284.7,1278,0,148.0,119.2,10.72,0.9948,0.1111,26848.8,21.01
55,2026-05-04,FC_MUM,S1,2540,2266,23,8,0,1,23,7,0,2722.4,2266,0,248.0,216.0,10.49,0.8323,0.0323,44696.0,19.72
56,2026-05-04,FC_MUM,S2,2733,2756,24,9,0,2,24,7,2,2901.4,2756,0,266.0,225.2,12.24,0.9499,0.0606,49660.42,18.02
57,2026-05-04,FC_MUM,S3,1787,1734,18,7,0,0,18,7,0,2064.4,1734,0,200.0,180.0,9.63,0.8399,0.0,39784.8,22.94
58,2026-05-04,FC_HYD,S1,1968,2167,18,6,1,1,17,5,12,2172.3,2167,0,204.0,170.4,12.72,0.9975,0.0833,34884.0,16.1
59,2026-05-04,FC_HYD,S2,2315,2478,22,8,1,0,21,8,0,2649.6,2478,0,240.0,208.8,11.87,0.9353,0.0333,41265.92,16.65
60,2026-05-04,FC_HYD,S3,1558,1459,16,5,1,0,15,5,0,1696.1,1459,0,168.0,144.0,10.13,0.8602,0.0476,30712.0,21.05
61,2026-05-05,FC_BLR,S1,2701,2544,22,8,0,0,22,8,4,2891.1,2544,0,244.0,220.0,11.56,0.8799,0.0,42504.0,16.71
62,2026-05-05,FC_BLR,S2,2777,2814,24,9,2,2,22,7,11,2823.9,2814,0,275.0,219.8,12.8,0.9965,0.1212,49899.38,17.73
63,2026-05-05,FC_BLR,S3,1849,1852,18,7,1,1,17,6,2,1855.7,1852,0,202.0,167.6,11.05,0.998,0.08,38671.6,20.88
64,2026-05-05,FC_DEL,S1,2997,2969,27,9,2,0,25,9,0,3165.5,2969,0,288.0,244.8,12.13,0.9379,0.0556,50976.0,17.17
65,2026-05-05,FC_DEL,S2,3159,2992,28,10,2,1,26,9,0,3143.3,2992,0,304.0,252.0,11.87,0.9519,0.0789,55537.6,18.56
66,2026-05-05,FC_DEL,S3,1895,1908,18,7,2,0,16,7,0,1934.7,1908,0,200.0,165.6,11.52,0.9862,0.08,39124.8,20.51
67,2026-05-05,FC_KOL,S1,1826,1809,16,6,1,0,15,6,0,1881.9,1809,0,176.0,151.2,11.96,0.9612,0.0455,28656.0,15.84
68,2026-05-05,FC_KOL,S2,2184,2158,21,7,2,0,19,7,0,2158.4,2158,0,224.0,187.2,11.53,0.9998,0.0714,37434.32,17.35
69,2026-05-05,FC_KOL,S3,1582,1517,16,6,0,0,16,6,0,1756.1,1517,0,176.0,158.4,9.58,0.8638,0.0,31521.6,20.78
70,2026-05-05,FC_MUM,S1,2341,2393,21,7,3,0,18,7,17,2399.4,2393,0,241.0,197.0,12.15,0.9973,0.1071,44791.0,18.72
71,2026-05-05,FC_MUM,S2,2760,3041,27,9,2,0,25,9,15,3043.5,3041,0,303.0,259.8,11.71,0.9992,0.0556,57458.55,18.89
72,2026-05-05,FC_MUM,S3,1948,1910,20,7,1,0,19,7,0,1993.7,1910,0,216.0,187.2,10.2,0.958,0.037,42829.6,22.42
73,2026-05-05,FC_HYD,S1,2112,2137,18,6,1,2,17,4,8,2140.7,2137,0,200.0,159.2,13.42,0.9983,0.125,33912.0,15.87
74,2026-05-05,FC_HYD,S2,2297,2468,20,7,4,0,16,7,36,2453.8,2453,15,252.0,201.6,12.17,0.9997,0.1481,46106.92,18.8
75,2026-05-05,FC_HYD,S3,1610,1673,16,6,1,0,15,6,0,1756.7,1673,0,176.0,151.2,11.06,0.9524,0.0455,32348.8,19.34
76,2026-05-06,FC_BLR,S1,2652,2706,23,8,2,0,21,8,14,2715.1,2706,0,262.0,222.8,12.15,0.9967,0.0645,46332.0,17.12
77,2026-05-06,FC_BLR,S2,3099,3143,28,10,1,1,27,9,0,3444.7,3143,0,304.0,259.2,12.13,0.9124,0.0526,54120.32,17.22
78,2026-05-06,FC_BLR,S3,2147,2013,21,8,0,1,21,7,0,2319.1,2013,0,232.0,201.6,9.99,0.868,0.0345,44193.6,21.95
79,2026-05-06,FC_DEL,S1,3225,3230,27,9,1,1,26,8,19,3233.6,3230,0,307.0,263.8,12.24,0.9989,0.0556,55878.0,17.3
80,2026-05-06,FC_DEL,S2,3099,3237,27,10,2,0,25,10,0,3237.9,3237,0,296.0,252.0,12.85,0.9997,0.0541,54136.8,16.72
81,2026-05-06,FC_DEL,S3,1850,2097,19,7,1,1,18,6,25,2098.0,2097,0,233.0,197.8,10.6,0.9995,0.0769,47715.8,22.75
82,2026-05-06,FC_KOL,S1,1968,2095,18,7,0,1,18,6,2,2165.3,2095,0,202.0,174.8,11.99,0.9675,0.04,33072.0,15.79
83,2026-05-06,FC_KOL,S2,2464,2456,24,9,2,0,22,9,2,2597.2,2456,0,266.0,225.2,10.91,0.9456,0.0606,44759.68,18.22
84,2026-05-06,FC_KOL,S3,1473,1420,15,5,1,1,14,4,0,1426.7,1420,0,160.0,129.6,10.96,0.9953,0.1,28556.0,20.11
85,2026-05-06,FC_MUM,S1,2673,2747,23,8,0,0,23,8,11,2747.5,2747,0,259.0,234.2,11.73,0.9998,0.0,47589.0,17.32
86,2026-05-06,FC_MUM,S2,2846,3018,26,9,0,1,26,8,23,3026.5,3018,0,303.0,267.8,11.27,0.9972,0.0286,58200.15,19.28
87,2026-05-06,FC_MUM,S3,1654,1802,16,6,0,1,16,5,13,1809.6,1802,0,189.0,164.2,10.97,0.9958,0.0455,38732.1,21.49
88,2026-05-06,FC_HYD,S1,2403,2338,21,7,1,1,20,6,0,2524.9,2338,0,224.0,187.2,12.49,0.926,0.0714,37296.0,15.95
89,2026-05-06,FC_HYD,S2,2617,2445,22,8,3,1,19,7,0,2482.3,2445,0,240.0,187.2,13.06,0.985,0.1333,41265.92,16.88
90,2026-05-06,FC_HYD,S3,1524,1562,14,5,1,0,13,5,4,1564.9,1562,0,156.0,133.6,11.69,0.9982,0.0526,28965.2,18.54
91,2026-05-07,FC_BLR,S1,2738,2877,24,9,2,0,22,9,6,2881.9,2877,0,270.0,229.2,12.55,0.9983,0.0606,47196.0,16.4
92,2026-05-07,FC_BLR,S2,3465,3318,30,10,2,1,28,9,0,3328.9,3318,0,320.0,266.4,12.45,0.9967,0.075,56856.0,17.14
93,2026-05-07,FC_BLR,S3,1654,1747,16,6,1,0,15,6,1,1754.3,1747,0,177.0,152.2,11.48,0.9958,0.0455,33785.4,19.34
94,2026-05-07,FC_DEL,S1,3555,3380,30,11,2,0,28,11,0,3636.3,3380,0,328.0,280.8,12.04,0.9295,0.0488,58224.0,17.23
95,2026-05-07,FC_DEL,S2,3693,3683,33,12,2,1,31,11,2,3687.6,3683,0,362.0,304.4,12.1,0.9987,0.0667,66336.12,18.01
96,2026-05-07,FC_DEL,S3,2391,2181,23,8,0,1,23,7,0,2468.2,2181,0,248.0,216.0,10.1,0.8837,0.0323,48347.2,22.17
97,2026-05-07,FC_KOL,S1,1870,2044,18,6,1,1,17,5,12,2047.2,2044,0,204.0,170.4,12.0,0.9984,0.0833,33984.0,16.63
98,2026-05-07,FC_KOL,S2,2546,2555,25,9,1,1,24,8,0,2821.7,2555,0,272.0,230.4,11.09,0.9055,0.0588,45558.96,17.83
99,2026-05-07,FC_KOL,S3,1441,1563,15,5,0,0,15,5,0,1575.4,1563,0,160.0,144.0,10.85,0.9921,0.0,28556.0,18.27
100,2026-05-07,FC_MUM,S1,2767,2690,24,8,0,0,24,8,0,2949.7,2690,0,256.0,230.4,11.68,0.9119,0.0,46080.0,17.13
101,2026-05-07,FC_MUM,S2,3248,3300,30,11,2,1,28,10,0,3559.3,3300,0,328.0,273.6,12.06,0.9271,0.0732,60984.24,18.48
102,2026-05-07,FC_MUM,S3,1746,1978,16,6,0,3,16,3,36,1728.9,1728,250,212.0,172.8,10.0,0.9995,0.1364,45386.0,26.27
103,2026-05-07,FC_HYD,S1,2208,2307,20,7,3,1,17,6,12,2310.0,2307,0,228.0,177.6,12.99,0.9987,0.1481,38932.0,16.88
104,2026-05-07,FC_HYD,S2,2539,2717,21,8,1,2,20,6,36,2675.2,2675,42,268.0,223.2,11.98,0.9999,0.1034,48957.96,18.3
105,2026-05-07,FC_HYD,S3,1494,1539,16,6,1,0,15,6,0,1735.4,1539,0,176.0,151.2,10.18,0.8868,0.0455,32348.8,21.02
106,2026-05-08,FC_BLR,S1,2930,2889,26,9,0,0,26,9,0,3571.5,2889,0,280.0,252.0,11.46,0.8089,0.0,48352.0,16.74
107,2026-05-08,FC_BLR,S2,3057,3276,27,10,0,0,27,10,0,3327.5,3276,0,296.0,266.4,12.3,0.9845,0.0,52752.48,16.1
108,2026-05-08,FC_BLR,S3,2132,2168,20,7,0,0,20,7,0,2296.8,2168,0,216.0,194.4,11.15,0.9439,0.0,41043.2,18.93
109,2026-05-08,FC_DEL,S1,2799,3185,23,8,2,0,21,8,36,3079.8,3079,106,284.0,244.8,12.58,0.9998,0.0645,53240.0,17.29
110,2026-05-08,FC_DEL,S2,3782,4007,34,12,1,2,33,10,24,4007.8,4007,0,392.0,333.6,12.01,0.9998,0.0652,73583.2,18.36
111,2026-05-08,FC_DEL,S3,2352,2258,24,8,1,0,23,8,0,2514.3,2258,0,256.0,223.2,10.12,0.8981,0.0312,49843.2,22.07
112,2026-05-08,FC_KOL,S1,2362,2376,22,8,0,1,22,7,3,2634.3,2376,0,243.0,211.8,11.22,0.9019,0.0333,39748.0,16.73
113,2026-05-08,FC_KOL,S2,2667,2481,25,9,1,1,24,8,0,2794.4,2481,0,272.0,230.4,10.77,0.8878,0.0588,45558.96,18.36
114,2026-05-08,FC_KOL,S3,1632,1577,16,5,1,0,15,5,4,1580.7,1577,0,172.0,148.0,10.66,0.9976,0.0476,30967.2,19.64
115,2026-05-08,FC_MUM,S1,2613,2660,23,8,3,0,20,8,1,2666.0,2660,0,249.0,202.6,13.13,0.9977,0.0968,44959.0,16.9
116,2026-05-08,FC_MUM,S2,3197,3330,30,10,3,1,27,9,27,3336.3,3330,0,347.0,286.2,11.64,0.9981,0.1,66642.03,20.01
117,2026-05-08,FC_MUM,S3,1820,1879,18,6,0,0,18,6,0,1936.1,1879,0,192.0,172.8,10.87,0.9705,0.0,38016.0,20.23
118,2026-05-08,FC_HYD,S1,2348,2516,20,7,1,0,19,7,0,2538.1,2516,0,216.0,187.2,13.44,0.9913,0.037,36016.0,14.31
119,2026-05-08,FC_HYD,S2,3268,2890,30,10,2,1,28,9,0,3224.5,2890,0,320.0,266.4,10.85,0.8963,0.075,54878.4,18.99
120,2026-05-08,FC_HYD,S3,1839,1792,18,6,0,1,18,5,0,1928.0,1792,0,192.0,165.6,10.82,0.9295,0.0417,35164.8,19.62
121,2026-05-09,FC_BLR,S1,3501,3435,28,10,3,1,25,9,8,3439.1,3435,0,312.0,252.8,13.59,0.9988,0.1053,54544.0,15.88
122,2026-05-09,FC_BLR,S2,3720,3637,32,11,1,1,31,10,3,3638.6,3637,0,347.0,298.2,12.2,0.9996,0.0465,61946.26,17.03
123,2026-05-09,FC_BLR,S3,2295,2344,21,8,4,1,17,7,36,2252.3,2252,92,268.0,208.8,10.79,0.9999,0.1724,54093.6,24.02
124,2026-05-09,FC_DEL,S1,2936,2975,27,9,3,3,24,6,21,2980.7,2975,0,309.0,237.0,12.55,0.9981,0.1667,56394.0,18.96
125,2026-05-09,FC_DEL,S2,3423,3572,32,11,2,0,30,11,0,3612.7,3572,0,344.0,295.2,12.1,0.9887,0.0465,62772.32,17.57
126,2026-05-09,FC_DEL,S3,2645,2391,26,9,2,1,24,8,0,2439.1,2391,0,280.0,230.4,10.38,0.9803,0.0857,54577.6,22.83
127,2026-05-09,FC_KOL,S1,2441,2553,22,8,2,0,20,8,3,2557.6,2553,0,243.0,204.6,12.48,0.9982,0.0667,39748.0,15.57
128,2026-05-09,FC_KOL,S2,2943,2807,29,10,3,3,26,7,0,2950.8,2807,0,312.0,237.6,11.81,0.9513,0.1538,52192.16,18.59
129,2026-05-09,FC_KOL,S3,1907,1745,21,7,1,1,20,6,0,2034.3,1745,0,224.0,187.2,9.32,0.8578,0.0714,39978.4,22.91
130,2026-05-09,FC_MUM,S1,3152,3081,28,10,0,2,28,8,0,3404.2,3081,0,304.0,259.2,11.89,0.9051,0.0526,54832.0,17.8
131,2026-05-09,FC_MUM,S2,3245,3335,30,11,0,2,30,9,0,3522.4,3335,0,328.0,280.8,11.88,0.9468,0.0488,60984.24,18.29
132,2026-05-09,FC_MUM,S3,2532,2465,25,9,0,2,25,7,0,2646.5,2465,0,272.0,230.4,10.7,0.9314,0.0588,53979.2,21.9
133,2026-05-09,FC_HYD,S1,2496,2372,22,8,3,0,19,8,4,2591.3,2372,0,244.0,198.4,11.96,0.9154,0.1,41036.0,17.3
134,2026-05-09,FC_HYD,S2,2873,3033,26,9,0,1,26,8,0,3096.5,3033,0,280.0,244.8,12.39,0.9795,0.0286,48072.16,15.85
135,2026-05-09,FC_HYD,S3,2168,1984,21,8,2,1,19,7,0,2200.1,1984,0,232.0,187.2,10.6,0.9018,0.1034,42662.4,21.5
136,2026-05-10,FC_BLR,S1,2735,3118,24,8,0,0,24,8,0,3273.5,3118,0,256.0,230.4,13.53,0.9525,0.0,44160.0,14.16
137,2026-05-10,FC_BLR,S2,2630,3110,24,9,3,2,21,7,36,3110.8,3110,0,300.0,237.6,13.09,0.9997,0.1515,56336.88,18.11
138,2026-05-10,FC_BLR,S3,2211,2188,21,8,1,0,20,8,0,2432.4,2188,0,232.0,201.6,10.85,0.8995,0.0345,44193.6,20.2
139,2026-05-10,FC_DEL,S1,3252,3185,28,10,2,2,26,8,1,3194.9,3185,0,305.0,245.8,12.96,0.9969,0.1053,54178.0,17.01
140,2026-05-10,FC_DEL,S2,3886,3710,36,13,1,2,35,11,0,4252.6,3710,0,392.0,331.2,11.2,0.8724,0.0612,71638.56,19.31
141,2026-05-10,FC_DEL,S3,2403,2276,24,9,2,1,22,8,0,2603.4,2276,0,264.0,216.0,10.54,0.8743,0.0909,51585.6,22.67
142,2026-05-10,FC_KOL,S1,2461,2204,22,8,0,1,22,7,0,2725.3,2204,0,240.0,208.8,10.56,0.8087,0.0333,39040.0,17.71
143,2026-05-10,FC_KOL,S2,2087,2453,19,7,1,0,18,7,36,2422.4,2422,31,244.0,216.0,11.21,0.9998,0.0385,43614.32,18.01
144,2026-05-10,FC_KOL,S3,1688,1659,17,6,0,1,17,5,0,1774.5,1659,0,184.0,158.4,10.47,0.9349,0.0435,32894.4,19.83
145,2026-05-10,FC_MUM,S1,2574,2486,22,8,1,0,21,8,0,2626.3,2486,0,240.0,208.8,11.91,0.9466,0.0333,43312.0,17.42
146,2026-05-10,FC_MUM,S2,2355,2771,22,8,2,0,20,8,34,2777.2,2771,0,274.0,235.6,11.76,0.9978,0.0667,53821.62,19.42
147,2026-05-10,FC_MUM,S3,2424,2083,23,8,1,2,22,6,0,2302.5,2083,0,248.0,201.6,10.33,0.9046,0.0968,49165.6,23.6
148,2026-05-10,FC_HYD,S1,2602,2777,24,8,1,0,23,8,0,2936.2,2777,0,256.0,223.2,12.44,0.9458,0.0312,42624.0,15.35
149,2026-05-10,FC_HYD,S2,2701,2688,24,8,0,3,24,5,0,2721.9,2688,0,256.0,208.8,12.87,0.9875,0.0938,43902.72,16.33
150,2026-05-10,FC_HYD,S3,1718,1854,16,5,0,1,16,4,35,1861.3,1854,0,203.0,179.0,10.36,0.9961,0.0476,40067.5,21.61
151,2026-05-11,FC_BLR,S1,2072,2219,17,6,0,1,17,5,14,2224.2,2219,0,198.0,172.4,12.87,0.9977,0.0435,35292.0,15.9
152,2026-05-11,FC_BLR,S2,3360,3169,29,10,1,1,28,9,0,3514.5,3169,0,312.0,266.4,11.9,0.9017,0.0513,55488.16,17.51
153,2026-05-11,FC_BLR,S3,2212,1870,21,8,1,0,20,8,0,2401.7,1870,0,232.0,201.6,9.28,0.7786,0.0345,44193.6,23.63
154,2026-05-11,FC_DEL,S1,2847,2566,24,8,1,0,23,8,0,2787.7,2566,0,256.0,223.2,11.5,0.9205,0.0312,45312.0,17.66
155,2026-05-11,FC_DEL,S2,2865,3131,27,9,1,1,26,8,8,3132.6,3131,0,296.0,252.8,12.39,0.9995,0.0556,54631.2,17.45
156,2026-05-11,FC_DEL,S3,1931,2001,20,7,1,1,19,6,0,2056.6,2001,0,216.0,180.0,11.12,0.973,0.0741,42116.8,21.05
157,2026-05-11,FC_KOL,S1,1866,1899,18,7,2,1,16,6,4,1906.8,1899,0,204.0,162.4,11.69,0.9959,0.12,33544.0,17.66
158,2026-05-11,FC_KOL,S2,2223,2299,21,7,0,0,21,7,2,2559.4,2299,0,226.0,203.6,11.29,0.8983,0.0,37920.48,16.49
159,2026-05-11,FC_KOL,S3,1371,1324,14,5,0,0,14,5,0,1397.2,1324,0,152.0,136.8,9.68,0.9476,0.0,27183.2,20.53
160,2026-05-11,FC_MUM,S1,2157,2186,18,6,0,0,18,6,18,2193.1,2186,0,210.0,190.8,11.46,0.9968,0.0,39294.0,17.98
161,2026-05-11,FC_MUM,S2,2831,2820,25,9,0,1,25,8,0,2956.9,2820,0,272.0,237.6,11.87,0.9537,0.0294,50544.16,17.92
162,2026-05-11,FC_MUM,S3,1557,1614,15,5,1,1,14,4,13,1621.2,1614,0,173.0,142.6,11.32,0.9956,0.1,35440.9,21.96
163,2026-05-11,FC_HYD,S1,2066,2018,18,7,0,0,18,7,0,2367.4,2018,0,200.0,180.0,11.21,0.8524,0.0,33456.0,16.58
164,2026-05-11,FC_HYD,S2,2186,2200,21,7,1,0,20,7,0,2674.3,2200,0,224.0,194.4,11.32,0.8226,0.0357,38414.88,17.46
165,2026-05-11,FC_HYD,S3,1808,1721,17,6,0,0,17,6,0,1861.8,1721,0,184.0,165.6,10.39,0.9244,0.0,33756.8,19.61
166,2026-05-12,FC_BLR,S1,2721,2454,24,8,1,0,23,8,0,2937.0,2454,0,256.0,223.2,10.99,0.8356,0.0312,44160.0,18.0
167,2026-05-12,FC_BLR,S2,2705,2807,25,9,0,2,25,7,0,2810.2,2807,0,272.0,230.4,12.18,0.9988,0.0588,48434.72,17.25
168,2026-05-12,FC_BLR,S3,1987,1844,20,7,1,0,19,7,0,2084.0,1844,0,216.0,187.2,9.85,0.8848,0.037,41043.2,22.26
169,2026-05-12,FC_DEL,S1,3031,2912,26,9,0,0,26,9,0,3019.8,2912,0,280.0,252.0,11.56,0.9643,0.0,49616.0,17.04
170,2026-05-12,FC_DEL,S2,3220,3245,30,10,0,1,30,9,0,3528.3,3245,0,320.0,280.8,11.56,0.9197,0.025,58339.2,17.98
171,2026-05-12,FC_DEL,S3,2097,2111,21,8,1,0,20,8,0,2334.7,2111,0,232.0,201.6,10.47,0.9042,0.0345,45355.2,21.49
172,2026-05-12,FC_KOL,S1,1823,2084,16,5,1,1,15,4,36,2090.0,2084,0,204.0,172.8,12.06,0.9971,0.0952,35704.0,17.13
