plan_id,plan_date,facility_id,shift_id,forecast_orders,target_capacity_orders,baseline_fte,baseline_contract,baseline_overtime_hours,baseline_capacity_orders,baseline_labour_cost_inr,recommended_fte,recommended_contract,recommended_overtime_hours,optimized_capacity_orders,optimized_labour_cost_inr,baseline_capacity_gap,optimized_capacity_gap,baseline_utilization,optimized_utilization,cost_savings_inr,cost_savings_pct,overtime_reduction_hours
76,2026-08-06,FC_BLR,S1,2943,3031.3,24,8,6,2949.0,45660.0,33,0,0,3098.7,43824.0,-82.3,67.4,0.998,0.9498,1836.0,0.0402,6
77,2026-08-06,FC_BLR,S2,3237,3334.1,28,10,0,3289.8,54120.32,37,0,0,3340.7,50610.08,-44.3,6.6,0.984,0.969,3510.24,0.0649,0
78,2026-08-06,FC_BLR,S3,2120,2183.6,20,7,0,2151.9,41043.2,27,0,0,2242.8,39441.6,-31.7,59.2,0.9852,0.9452,1601.6,0.039,0
79,2026-08-06,FC_DEL,S1,3229,3325.9,27,9,8,3232.7,53040.0,37,0,0,3369.0,50320.0,-93.2,43.1,0.9989,0.9584,2720.0,0.0513,8
80,2026-08-06,FC_DEL,S2,3643,3752.3,33,12,0,3779.5,65804.64,43,0,0,3764.7,60234.4,27.2,12.4,0.9639,0.9677,5570.24,0.0846,0
81,2026-08-06,FC_DEL,S3,2339,2409.2,23,8,0,2398.6,48347.2,30,0,0,2416.4,44880.0,-10.6,7.2,0.9752,0.968,3467.2,0.0717,0
82,2026-08-06,FC_KOL,S1,2264,2331.9,19,7,9,2269.7,35972.0,27,0,0,2362.4,33696.0,-62.2,30.5,0.9975,0.9583,2276.0,0.0633,9
83,2026-08-06,FC_KOL,S2,2588,2665.6,24,9,0,2663.0,44273.52,32,0,0,2692.2,41134.08,-2.6,26.6,0.9718,0.9613,3139.44,0.0709,0
84,2026-08-06,FC_KOL,S3,1590,1637.7,16,5,3,1593.0,30707.6,21,0,2,1642.4,29348.0,-44.7,4.7,0.9981,0.9681,1359.6,0.0443,1
85,2026-08-06,FC_MUM,S1,2739,2821.2,24,8,0,2774.5,46080.0,32,0,0,2891.0,44288.0,-46.7,69.8,0.9872,0.9474,1792.0,0.0389,0
86,2026-08-06,FC_MUM,S2,3393,3494.8,32,11,0,3581.3,63835.28,39,2,0,3533.6,58907.76,86.5,38.8,0.9474,0.9602,4927.52,0.0772,0
87,2026-08-06,FC_MUM,S3,2094,2156.8,20,7,4,2102.5,43986.8,27,0,0,2157.8,41104.8,-54.3,1.0,0.996,0.9704,2882.0,0.0655,4
88,2026-08-06,FC_HYD,S1,2511,2586.3,22,8,0,2657.3,40064.0,28,0,0,2589.4,35840.0,71.0,3.1,0.9449,0.9697,4224.0,0.1054,0
89,2026-08-06,FC_HYD,S2,2806,2890.2,24,8,8,2810.6,45905.04,33,0,0,2934.4,43507.2,-79.6,44.2,0.9984,0.9562,2397.84,0.0522,8
90,2026-08-06,FC_HYD,S3,1729,1780.9,17,6,0,1803.9,33756.8,22,0,0,1799.7,30976.0,23.0,18.8,0.9585,0.9607,2780.8,0.0824,0
91,2026-08-07,FC_BLR,S1,3147,3241.4,26,9,0,3154.4,48352.0,35,0,0,3286.5,46480.0,-87.0,45.1,0.9977,0.9576,1872.0,0.0387,0
92,2026-08-07,FC_BLR,S2,3599,3707.0,32,11,0,3727.2,61173.76,39,3,0,3749.8,58092.0,20.2,42.8,0.9656,0.9598,3081.76,0.0504,0
93,2026-08-07,FC_BLR,S3,2178,2243.3,21,8,0,2305.0,44193.6,27,0,1,2251.8,39716.6,61.7,8.5,0.9449,0.9672,4477.0,0.1013,-1
94,2026-08-07,FC_DEL,S1,3408,3510.2,30,10,0,3503.2,56640.0,39,0,0,3551.1,53040.0,-7.0,40.9,0.9728,0.9597,3600.0,0.0636,0
95,2026-08-07,FC_DEL,S2,3924,4041.7,35,12,0,3954.6,68606.24,43,4,0,4061.5,66760.48,-87.1,19.8,0.9923,0.9661,1845.76,0.0269,0
96,2026-08-07,FC_DEL,S3,2482,2556.5,25,9,0,2628.0,53081.6,32,0,0,2577.5,47872.0,71.5,21.0,0.9444,0.9629,5209.6,0.0981,0
97,2026-08-07,FC_KOL,S1,2255,2322.7,21,7,0,2358.2,36344.0,27,0,0,2362.4,33696.0,35.5,39.7,0.9562,0.9545,2648.0,0.0729,0
98,2026-08-07,FC_KOL,S2,2780,2863.4,26,9,0,2831.3,46844.4,33,1,2,2866.4,44397.12,-32.1,3.0,0.9819,0.9699,2447.28,0.0522,-2
99,2026-08-07,FC_KOL,S3,1704,1755.1,18,6,0,1788.1,34267.2,23,0,0,1780.2,31574.4,33.0,25.1,0.953,0.9572,2692.8,0.0786,0
100,2026-08-07,FC_MUM,S1,3080,3172.4,26,9,5,3080.2,51771.0,35,0,2,3181.7,48966.0,-92.2,9.3,0.9999,0.968,2805.0,0.0542,3
101,2026-08-07,FC_MUM,S2,3560,3666.8,32,11,0,3581.3,63835.28,39,4,0,3679.3,62220.24,-85.5,12.5,0.9941,0.9676,1615.04,0.0253,0
102,2026-08-07,FC_MUM,S3,2234,2301.0,23,8,0,2374.4,49165.6,29,0,0,2317.6,44149.6,73.4,16.6,0.9409,0.9639,5016.0,0.102,0
103,2026-08-07,FC_HYD,S1,2554,2630.6,21,8,0,2564.8,38784.0,29,0,0,2681.8,37120.0,-65.8,51.2,0.9958,0.9523,1664.0,0.0429,0
104,2026-08-07,FC_HYD,S2,3076,3168.3,28,10,0,3238.3,52241.6,36,0,0,3201.1,47462.4,70.0,32.8,0.9499,0.9609,4779.2,0.0915,0
105,2026-08-07,FC_HYD,S3,2028,2088.8,20,7,0,2118.2,39617.6,26,0,0,2127.0,36608.0,29.4,38.2,0.9574,0.9535,3009.6,0.076,0
106,2026-08-08,FC_BLR,S1,3382,3483.5,30,10,0,3609.2,55200.0,37,0,1,3484.6,49386.0,125.7,1.1,0.937,0.9706,5814.0,0.1053,-1
107,2026-08-08,FC_BLR,S2,4093,4215.8,35,12,2,4094.0,67374.36,39,9,1,4216.7,67841.98,-121.8,0.9,0.9998,0.9707,-467.62,-0.0069,1
108,2026-08-08,FC_BLR,S3,2487,2561.6,23,8,2,2489.3,47665.2,31,0,0,2575.0,45284.8,-72.3,13.4,0.9991,0.9658,2380.4,0.0499,2
109,2026-08-08,FC_DEL,S1,3648,3757.4,32,11,0,3762.5,60944.0,42,0,0,3824.3,57120.0,5.1,66.9,0.9696,0.9539,3824.0,0.0627,0
110,2026-08-08,FC_DEL,S2,4176,4301.3,37,13,0,4203.9,73039.36,43,7,2,4303.3,72186.52,-97.4,2.0,0.9934,0.9704,852.84,0.0117,-2
111,2026-08-08,FC_DEL,S3,2706,2787.2,26,9,0,2708.5,54577.6,35,0,0,2819.2,52360.0,-78.7,32.0,0.9991,0.9598,2217.6,0.0406,0
112,2026-08-08,FC_KOL,S1,2506,2581.2,23,8,0,2607.6,40288.0,30,0,0,2624.9,37440.0,26.4,43.7,0.961,0.9547,2848.0,0.0707,0
113,2026-08-08,FC_KOL,S2,2843,2928.3,27,10,0,2987.0,49621.28,33,2,1,2928.7,45645.48,58.7,0.4,0.9518,0.9707,3975.8,0.0801,-1
114,2026-08-08,FC_KOL,S3,1831,1885.9,19,7,0,1931.3,37232.8,25,0,0,1935.0,34320.0,45.4,49.1,0.9481,0.9463,2912.8,0.0782,0
115,2026-08-08,FC_MUM,S1,3362,3462.9,28,10,8,3366.3,56936.0,39,0,0,3523.4,53976.0,-96.6,60.5,0.9987,0.9542,2960.0,0.052,8
116,2026-08-08,FC_MUM,S2,3570,3677.1,32,11,0,3581.3,63835.28,39,4,0,3679.3,62220.24,-95.8,2.2,0.9968,0.9703,1615.04,0.0253,0
117,2026-08-08,FC_MUM,S3,2312,2381.4,23,8,0,2374.4,49165.6,30,0,0,2397.6,45672.0,-7.0,16.2,0.9737,0.9643,3493.6,0.0711,0
118,2026-08-08,FC_HYD,S1,2878,2964.3,26,9,0,3105.0,46672.0,32,0,1,2969.4,41203.0,140.7,5.1,0.9269,0.9692,5469.0,0.1172,-1
119,2026-08-08,FC_HYD,S2,3212,3308.4,29,10,0,3327.2,53560.0,36,2,0,3350.8,50527.68,18.8,42.4,0.9654,0.9586,3032.32,0.0566,0
120,2026-08-08,FC_HYD,S3,2026,2086.8,20,7,0,2118.2,39617.6,26,0,0,2127.0,36608.0,31.4,40.2,0.9565,0.9525,3009.6,0.076,0
121,2026-08-09,FC_BLR,S1,3152,3246.6,26,9,0,3154.4,48352.0,35,0,0,3286.5,46480.0,-92.2,39.9,0.9992,0.9591,1872.0,0.0387,0
122,2026-08-09,FC_BLR,S2,3548,3654.4,30,11,1,3556.5,58695.58,39,2,0,3673.6,56509.92,-97.9,19.2,0.9976,0.9658,2185.66,0.0372,1
123,2026-08-09,FC_BLR,S3,2165,2230.0,22,8,0,2388.1,45654.4,27,0,0,2242.8,39441.6,158.1,12.8,0.9066,0.9653,6212.8,0.1361,0
124,2026-08-09,FC_DEL,S1,3315,3414.5,29,10,0,3412.1,55280.0,38,0,0,3460.1,51680.0,-2.4,45.6,0.9715,0.9581,3600.0,0.0651,0
125,2026-08-09,FC_DEL,S2,3828,3942.8,34,12,0,3867.0,67205.44,43,3,0,3987.3,65128.96,-75.8,44.5,0.9899,0.96,2076.48,0.0309,0
126,2026-08-09,FC_DEL,S3,2401,2473.0,24,9,0,2547.4,51585.6,31,0,0,2497.0,46376.0,74.4,24.0,0.9425,0.9616,5209.6,0.101,0
127,2026-08-09,FC_KOL,S1,2316,2385.5,21,7,0,2358.2,36344.0,28,0,0,2449.9,34944.0,-27.3,64.4,0.9821,0.9453,1400.0,0.0385,0
128,2026-08-09,FC_KOL,S2,2735,2817.1,26,9,0,2831.3,46844.4,33,1,0,2847.9,43910.96,14.2,30.8,0.966,0.9604,2933.44,0.0626,0
129,2026-08-09,FC_KOL,S3,1668,1718.0,16,6,5,1675.8,32819.6,22,0,2,1719.8,30720.8,-42.2,1.8,0.9953,0.9699,2098.8,0.0639,3
130,2026-08-09,FC_MUM,S1,3042,3133.3,27,9,0,3121.3,51840.0,35,0,0,3162.0,48440.0,-12.0,28.7,0.9746,0.962,3400.0,0.0656,0
131,2026-08-09,FC_MUM,S2,3476,3580.3,31,11,0,3494.4,62409.76,39,3,0,3606.4,60564.0,-85.9,26.1,0.9947,0.9638,1845.76,0.0296,0
132,2026-08-09,FC_MUM,S3,2168,2233.0,22,8,0,2294.5,47643.2,28,0,0,2237.7,42627.2,61.5,4.7,0.9449,0.9689,5016.0,0.1053,0
133,2026-08-09,FC_HYD,S1,2523,2598.7,23,8,0,2749.7,41344.0,28,0,1,2599.5,36083.0,151.0,0.8,0.9176,0.9706,5261.0,0.1272,-1
134,2026-08-09,FC_HYD,S2,2869,2955.1,26,9,0,2985.6,48072.16,34,0,0,3023.3,44825.6,30.5,68.2,0.9609,0.949,3246.56,0.0675,0
135,2026-08-09,FC_HYD,S3,1854,1909.6,18,6,0,1885.7,35164.8,24,0,0,1963.4,33792.0,-23.9,53.8,0.9832,0.9443,1372.8,0.039,0
136,2026-08-10,FC_BLR,S1,2921,3008.6,24,8,4,2928.5,45160.0,32,0,1,3015.1,42746.0,-80.1,6.5,0.9974,0.9688,2414.0,0.0535,3
137,2026-08-10,FC_BLR,S2,3338,3438.1,30,10,0,3470.4,56856.0,38,0,1,3440.8,52235.42,32.3,2.7,0.9618,0.9701,4620.58,0.0813,-1
138,2026-08-10,FC_BLR,S3,2191,2256.7,21,7,0,2234.9,42504.0,27,0,2,2260.9,39991.6,-21.8,4.2,0.9804,0.9691,2512.4,0.0591,-2
139,2026-08-10,FC_DEL,S1,3360,3460.8,29,10,0,3412.1,55280.0,38,0,1,3470.0,51938.0,-48.7,9.2,0.9847,0.9683,3342.0,0.0605,-1
140,2026-08-10,FC_DEL,S2,3791,3904.7,33,12,2,3798.7,66336.12,43,2,0,3913.1,63497.44,-106.0,8.4,0.998,0.9688,2838.68,0.0428,2
141,2026-08-10,FC_DEL,S3,2269,2337.1,23,8,0,2398.6,48347.2,29,0,1,2344.7,43667.8,61.5,7.6,0.946,0.9677,4679.4,0.0968,-1
142,2026-08-10,FC_KOL,S1,2290,2358.7,22,8,0,2520.1,39040.0,27,0,0,2362.4,33696.0,161.4,3.7,0.9087,0.9694,5344.0,0.1369,0
143,2026-08-10,FC_KOL,S2,2601,2679.0,24,9,0,2663.0,44273.52,32,0,0,2692.2,41134.08,-16.0,13.2,0.9767,0.9661,3139.44,0.0709,0
144,2026-08-10,FC_KOL,S3,1657,1706.7,18,6,0,1788.1,34267.2,22,0,1,1711.3,30461.2,81.4,4.6,0.9267,0.9683,3806.0,0.1111,-1
145,2026-08-10,FC_MUM,S1,2825,2909.8,26,9,0,3030.9,50456.0,32,0,2,2910.7,44814.0,121.1,0.9,0.9321,0.9706,5642.0,0.1118,-2
146,2026-08-10,FC_MUM,S2,3308,3407.2,30,10,0,3334.7,59328.0,39,1,0,3460.7,57251.52,-72.5,53.5,0.992,0.9559,2076.48,0.035,0
147,2026-08-10,FC_MUM,S3,1976,2035.3,20,7,0,2067.6,42829.6,26,0,0,2077.9,39582.4,32.3,42.6,0.9557,0.951,3247.2,0.0758,0
148,2026-08-10,FC_HYD,S1,2495,2569.8,21,8,0,2564.8,38784.0,28,0,0,2589.4,35840.0,-5.0,19.6,0.9728,0.9635,2944.0,0.0759,0
149,2026-08-10,FC_HYD,S2,2875,2961.2,25,9,0,2896.7,46753.76,34,0,0,3023.3,44825.6,-64.5,62.1,0.9925,0.9509,1928.16,0.0412,0
150,2026-08-10,FC_HYD,S3,1790,1843.7,17,6,0,1803.9,33756.8,23,0,0,1881.5,32384.0,-39.8,37.8,0.9923,0.9514,1372.8,0.0407,0
151,2026-08-11,FC_BLR,S1,3091,3183.7,26,9,0,3154.4,48352.0,34,0,0,3192.6,45152.0,-29.3,8.9,0.9799,0.9682,3200.0,0.0662,0
152,2026-08-11,FC_BLR,S2,3497,3601.9,30,11,0,3546.6,58438.08,39,1,1,3607.3,55185.34,-55.3,5.4,0.986,0.9694,3252.74,0.0557,-1
